- , Model T, Stanley Steamer, accelerator, air bag, airplane, airship, ambulance, auto accessory, automobile, automobile engine, automobile horn, baggage car, beach wagon, buffer, building, bumper, bus, cab, cabin car, cable car, cable railway, car, car door, car mirror, car seat, car window, carriage, club car, cockpit, compact, compartment, convertible, coupe, covering, cruiser, device, electric, elevator, fender, first gear, floorboard, framework, freight car, fuel system, gas guzzler, gasoline engine, gear, glove compartment, grille, guard's van, handcar, hardtop, hatchback, high gear, hood, horseless carriage, hot rod, internal-combustion engine, jeep, limousine, loaner, locomotive, luggage compartment, mail car, minicab, minicar, minivan, motor vehicle, opening, pace car, passenger car, passenger van, pedal, protective covering, racer, rear window, reverse, roadster, roof, running board, sedan, self-propelled vehicle, slip coach, sport utility, sports car, stabilizer, stabilizer bar, stock car, subcompact, sunroof, suspension, tail fin, tender, third gear, touring car, truck, used-car, van, wheeled vehicle, window
car, 0.452088, 0.681543, 0.669413, 0.669413, 1.223595, 0.554182, 0.452088, 0.669413, 1.192374, 0.669413, 0.669413, 0.452088, 0.452088, 0.669413, 1.023014, 0.669413, 0.452088, 0.452088, 0.452088, 1.015482, 0.554182, 0.000000, 0.669413, 0.669413, 0.669413, 0.669413, 1.015482, 0.681543, 1.015482, 0.452088, 0.563394, 0.452088, 0.452088, 1.232807, 0.452088, 1.232807, 0.452088, 0.554182, 0.669413, 0.669413, 0.669413, 1.032227, 0.681543, 1.032227, 0.452088, 0.669413, 1.232807, 0.669413, 0.669413, 0.452088, 0.452088, 0.452088, 0.452088, 0.669413, 0.669413, 0.452088, 0.452088, 1.032227, 0.452088, 0.452088, 0.452088, 1.223595, 0.669413, 0.452088, 0.904175, 0.452088, 0.452088, 0.563394, 1.032227, 0.452088, 0.452088, 0.904175, 1.032227, 1.232807, 0.681543, 0.669413, 0.669413, 0.681543, 0.669413, 0.669413, 0.681543, 1.015482, 0.452088, 0.681543, 0.681543, 1.232807, 0.669413, 0.681543, 0.681543, 0.669413, 0.468832, 0.669413, 0.452088, 0.669413, 0.681543, 1.015482, 0.681543, 0.452088, 0.563394, 0.468832
car door, 1.006269, 1.175629, 1.192374, 1.192374, 1.746556, 1.108363, 1.006269, 1.192374, 0.723542, 1.192374, 1.192374, 1.006269, 1.006269, 1.192374, 1.577196, 1.192374, 1.006269, 1.006269, 1.006269, 1.569664, 1.108363, 0.554182, 0.000000, 1.192374, 1.192374, 1.192374, 1.569664, 1.235725, 1.569664, 1.006269, 1.117576, 1.006269, 1.006269, 1.755768, 1.006269, 1.755768, 1.006269, 1.108363, 1.192374, 1.192374, 1.192374, 1.586408, 1.235725, 1.586408, 1.006269, 1.192374, 1.755768, 1.192374, 1.192374, 1.006269, 1.006269, 1.006269, 0.452088, 1.192374, 1.192374, 1.006269, 1.006269, 1.586408, 1.006269, 1.006269, 1.006269, 1.746556, 1.192374, 1.006269, 1.458357, 1.006269, 1.006269, 1.117576, 1.586408, 1.006269, 1.006269, 1.458357, 1.586408, 1.755768, 1.175629, 1.192374, 1.192374, 1.175629, 1.192374, 1.192374, 1.175629, 1.569664, 1.006269, 1.175629, 1.175629, 1.755768, 1.192374, 1.175629, 1.175629, 1.192374, 1.023014, 1.192374, 1.006269, 1.192374, 1.175629, 1.569664, 1.175629, 1.006269, 1.117576, 1.023014
car mirror, 1.006269, 1.175629, 1.192374, 1.192374, 1.746556, 1.108363, 1.006269, 1.192374, 0.723542, 1.192374, 1.192374, 1.006269, 1.006269, 1.192374, 1.577196, 1.192374, 1.006269, 1.006269, 1.006269, 1.569664, 1.108363, 0.554182, 1.192374, 0.000000, 1.192374, 1.192374, 1.569664, 1.235725, 1.569664, 1.006269, 1.117576, 1.006269, 1.006269, 1.755768, 1.006269, 1.755768, 1.006269, 1.108363, 1.192374, 1.192374, 1.192374, 1.586408, 1.235725, 1.586408, 1.006269, 1.192374, 1.755768, 1.192374, 1.192374, 1.006269, 1.006269, 1.006269, 1.006269, 1.192374, 1.192374, 1.006269, 1.006269, 1.586408, 1.006269, 1.006269, 1.006269, 1.746556, 1.192374, 1.006269, 1.458357, 1.006269, 1.006269, 1.117576, 1.586408, 1.006269, 1.006269, 1.458357, 1.586408, 1.755768, 1.175629, 1.192374, 1.192374, 1.175629, 1.192374, 1.192374, 1.175629, 1.569664, 1.006269, 1.175629, 1.175629, 1.755768, 1.192374, 1.175629, 1.175629, 1.192374, 1.023014, 1.192374, 1.006269, 1.192374, 1.175629, 1.569664, 1.175629, 1.006269, 1.117576, 1.023014
car seat, 1.006269, 1.175629, 1.192374, 1.192374, 1.746556, 1.108363, 1.006269, 1.192374, 0.723542, 1.192374, 1.192374, 1.006269, 1.006269, 1.192374, 1.577196, 1.192374, 1.006269, 1.006269, 1.006269, 1.569664, 1.108363, 0.554182, 1.192374, 1.192374, 0.000000, 1.192374, 1.569664, 1.235725, 1.569664, 1.006269, 1.117576, 1.006269, 1.006269, 1.755768, 1.006269, 1.755768, 1.006269, 1.108363, 1.192374, 1.192374, 1.192374, 1.586408, 1.235725, 1.586408, 1.006269, 1.192374, 1.755768, 1.192374, 1.192374, 1.006269, 1.006269, 1.006269, 1.006269, 1.192374, 1.192374, 1.006269, 1.006269, 1.586408, 1.006269, 1.006269, 1.006269, 1.746556, 1.192374, 1.006269, 1.458357, 1.006269, 1.006269, 1.117576, 1.586408, 1.006269, 1.006269, 1.458357, 1.586408, 1.755768, 1.175629, 1.192374, 1.192374, 1.175629, 1.192374, 1.192374, 1.175629, 1.569664, 1.006269, 1.175629, 1.175629, 1.755768, 1.192374, 1.175629, 1.175629, 1.192374, 1.023014, 1.192374, 1.006269, 1.192374, 1.175629, 1.569664, 1.175629, 1.006269, 1.117576, 1.023014
car window, 1.006269, 1.175629, 1.192374, 1.192374, 1.746556, 1.108363, 1.006269, 1.192374, 0.723542, 1.192374, 1.192374, 1.006269, 1.006269, 1.192374, 1.117576, 1.192374, 1.006269, 1.006269, 1.006269, 1.569664, 1.108363, 0.554182, 1.192374, 1.192374, 1.192374, 0.000000, 1.569664, 1.235725, 1.569664, 1.006269, 1.117576, 1.006269, 1.006269, 1.755768, 1.006269, 1.755768, 1.006269, 1.108363, 1.192374, 1.192374, 1.192374, 1.126789, 1.235725, 1.586408, 1.006269, 1.192374, 1.755768, 1.192374, 1.192374, 1.006269, 1.006269, 1.006269, 1.006269, 1.192374, 1.192374, 1.006269, 1.006269, 1.586408, 1.006269, 1.006269, 1.006269, 1.746556, 1.192374, 1.006269, 1.458357, 1.006269, 1.006269, 1.117576, 1.126789, 1.006269, 1.006269, 1.458357, 1.586408, 1.755768, 1.175629, 0.681543, 1.192374, 1.175629, 1.192374, 1.192374, 1.175629, 1.569664, 1.006269, 1.175629, 1.175629, 1.755768, 1.192374, 1.175629, 1.175629, 1.192374, 1.023014, 1.192374, 1.006269, 1.192374, 1.175629, 1.569664, 1.175629, 1.006269, 1.117576, 0.563394
carriage, 1.697025, 1.880670, 1.897415, 1.897415, 2.451596, 1.799119, 1.697025, 1.897415, 1.428582, 1.897415, 1.897415, 1.697025, 1.697025, 1.897415, 2.267952, 1.897415, 1.697025, 0.681543, 1.697025, 1.697025, 1.799119, 1.244938, 1.897415, 1.897415, 1.897415, 1.897415, 0.000000, 1.926481, 1.697025, 1.697025, 1.244938, 1.697025, 1.697025, 2.460809, 1.697025, 2.460809, 1.697025, 1.799119, 1.897415, 1.897415, 1.897415, 2.277164, 1.926481, 1.704557, 1.697025, 1.897415, 2.460809, 1.897415, 1.897415, 1.697025, 1.697025, 1.697025, 1.697025, 1.897415, 1.897415, 1.697025, 1.697025, 1.704557, 1.697025, 1.697025, 1.697025, 2.451596, 1.897415, 1.697025, 1.133631, 1.697025, 1.697025, 1.235725, 2.277164, 1.697025, 1.697025, 2.149113, 1.704557, 2.460809, 1.880670, 1.897415, 1.897415, 0.681543, 1.897415, 1.897415, 1.880670, 1.799119, 1.697025, 1.880670, 1.880670, 2.460809, 1.897415, 1.880670, 1.880670, 1.897415, 1.713770, 1.897415, 1.697025, 1.897415, 1.880670, 1.687812, 1.880670, 1.697025, 1.808332, 1.713770
club car, 1.015482, 1.244938, 1.232807, 1.232807, 1.786989, 1.117576, 1.015482, 1.232807, 1.755768, 1.232807, 1.232807, 1.015482, 1.015482, 1.232807, 1.586408, 1.232807, 1.015482, 1.015482, 1.015482, 1.578876, 1.117576, 0.563394, 1.232807, 1.232807, 1.232807, 1.232807, 1.578876, 0.000000, 1.578876, 1.015482, 1.126789, 1.015482, 1.015482, 1.796202, 1.015482, 1.796202, 1.015482, 1.117576, 1.232807, 1.232807, 1.232807, 1.595621, 1.244938, 1.595621, 1.015482, 1.232807, 1.796202, 1.232807, 1.232807, 1.015482, 1.015482, 1.015482, 1.015482, 1.232807, 1.232807, 1.015482, 1.015482, 1.595621, 1.015482, 1.015482, 1.015482, 1.786989, 1.232807, 1.015482, 1.467570, 1.015482, 1.015482, 1.126789, 1.595621, 1.015482, 1.015482, 1.467570, 1.595621, 1.796202, 1.244938, 1.232807, 1.232807, 1.244938, 1.232807, 1.232807, 1.244938, 1.578876, 1.015482, 1.244938, 1.244938, 1.796202, 1.232807, 1.244938, 1.244938, 1.232807, 1.032227, 1.232807, 1.015482, 1.232807, 1.244938, 1.578876, 1.244938, 1.015482, 1.126789, 1.032227
cockpit, 1.739024, 1.922668, 1.939413, 1.939413, 2.493595, 1.841118, 1.739024, 1.939413, 1.470581, 1.939413, 1.939413, 1.739024, 1.739024, 1.939413, 2.309950, 1.939413, 1.739024, 1.428582, 1.739024, 1.199127, 1.841118, 1.286936, 1.939413, 1.939413, 1.939413, 1.939413, 1.991977, 1.968479, 0.000000, 1.739024, 0.747039, 1.739024, 1.739024, 2.502808, 1.739024, 2.502808, 1.739024, 1.841118, 1.939413, 1.939413, 1.939413, 2.319163, 1.968479, 2.319163, 1.739024, 1.939413, 2.502808, 1.428582, 1.939413, 1.739024, 1.739024, 1.739024, 1.739024, 1.939413, 1.939413, 1.739024, 1.739024, 2.319163, 1.739024, 1.739024, 1.739024, 2.493595, 1.428582, 1.739024, 1.880670, 1.739024, 1.739024, 1.850331, 2.319163, 1.739024, 1.739024, 2.191111, 2.319163, 2.502808, 0.723542, 1.939413, 1.939413, 1.922668, 1.939413, 1.939413, 1.922668, 2.302418, 1.739024, 1.922668, 1.922668, 2.502808, 1.939413, 1.405085, 1.922668, 1.939413, 1.755768, 1.939413, 1.739024, 1.939413, 1.922668, 2.302418, 1.922668, 1.739024, 1.850331, 1.755768
compact, 1.199127, 1.199127, 1.215871, 1.215871, 1.770053, 1.301221, 1.199127, 1.215871, 0.747039, 1.215871, 1.215871, 1.199127, 1.199127, 1.215871, 1.770053, 1.215871, 1.199127, 1.199127, 1.199127, 1.762521, 1.301221, 0.747039, 1.215871, 1.215871, 1.215871, 1.215871, 1.762521, 1.428582, 1.667959, 0.000000, 1.310433, 1.199127, 1.199127, 1.779266, 1.199127, 1.779266, 1.199127, 1.301221, 1.215871, 1.215871, 1.215871, 1.779266, 1.428582, 1.770053, 1.199127, 1.215871, 1.779266, 1.215871, 1.215871, 1.199127, 1.199127, 1.199127, 1.199127, 1.215871, 1.215871, 1.199127, 1.199127, 1.779266, 1.199127, 1.199127, 1.199127, 1.770053, 1.215871, 1.199127, 1.651214, 1.199127, 1.199127, 1.310433, 1.779266, 1.199127, 1.199127, 1.651214, 1.779266, 1.779266, 1.199127, 1.215871, 1.215871, 1.199127, 1.215871, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.199127, 1.779266, 1.215871, 1.199127, 1.199127, 1.215871, 1.215871, 1.215871, 1.199127, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.310433, 1.215871
compartment, 1.133631, 1.363086, 1.350956, 1.350956, 1.905138, 1.235725, 1.133631, 1.350956, 1.405085, 1.350956, 1.350956, 1.133631, 1.133631, 1.350956, 1.704557, 1.350956, 1.133631, 0.681543, 1.133631, 0.452088, 1.175629, 0.681543, 1.350956, 1.350956, 1.350956, 1.350956, 1.244938, 1.363086, 0.452088, 1.133631, 0.000000, 1.133631, 1.133631, 1.914351, 1.133631, 1.914351, 1.133631, 1.235725, 1.350956, 1.350956, 1.350956, 1.713770, 1.363086, 1.704557, 1.133631, 1.350956, 1.914351, 0.681543, 1.350956, 1.133631, 1.133631, 1.133631, 1.133631, 1.350956, 1.350956, 1.133631, 1.133631, 1.704557, 1.133631, 1.133631, 1.133631, 1.905138, 0.681543, 1.133631, 1.133631, 1.133631, 1.133631, 1.235725, 1.713770, 1.133631, 1.133631, 1.585718, 1.704557, 1.914351, 1.175629, 1.350956, 1.350956, 1.363086, 1.350956, 1.350956, 1.363086, 1.697025, 1.133631, 1.363086, 1.363086, 1.914351, 1.350956, 1.363086, 1.363086, 1.350956, 1.150376, 1.350956, 1.133631, 1.350956, 1.363086, 1.687812, 1.363086, 1.133631, 1.244938, 1.150376
convertible, 1.199127, 1.199127, 1.215871, 1.215871, 1.770053, 1.301221, 1.199127, 1.215871, 0.747039, 1.215871, 1.215871, 1.199127, 1.199127, 1.215871, 1.770053, 1.215871, 1.199127, 1.199127, 1.199127, 1.762521, 1.301221, 0.747039, 1.215871, 1.215871, 1.215871, 1.215871, 1.762521, 1.428582, 1.667959, 1.199127, 1.310433, 0.000000, 1.199127, 1.779266, 1.199127, 1.779266, 1.199127, 1.301221, 1.215871, 1.215871, 1.215871, 1.779266, 1.428582, 1.770053, 1.199127, 1.215871, 1.779266, 1.215871, 1.215871, 1.199127, 1.199127, 1.199127, 1.199127, 1.215871, 1.215871, 1.199127, 1.199127, 1.779266, 1.199127, 1.199127, 1.199127, 1.770053, 1.215871, 1.199127, 1.651214, 1.199127, 1.199127, 1.310433, 1.779266, 1.199127, 1.199127, 1.651214, 1.779266, 1.779266, 1.199127, 1.215871, 1.215871, 1.199127, 1.215871, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.199127, 1.779266, 1.215871, 1.199127, 1.199127, 1.215871, 1.215871, 1.215871, 1.199127, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.310433, 1.215871
coupe, 1.199127, 1.199127, 1.215871, 1.215871, 1.770053, 1.301221, 1.199127, 1.215871, 0.747039, 1.215871, 1.215871, 1.199127, 1.199127, 1.215871, 1.770053, 1.215871, 1.199127, 1.199127, 1.199127, 1.762521, 1.301221, 0.747039, 1.215871, 1.215871, 1.215871, 1.215871, 1.762521, 1.428582, 1.667959, 1.199127, 1.310433, 1.199127, 0.000000, 1.779266, 1.199127, 1.779266, 1.199127, 1.301221, 1.215871, 1.215871, 1.215871, 1.779266, 1.428582, 1.770053, 1.199127, 1.215871, 1.779266, 1.215871, 1.215871, 1.199127, 1.199127, 1.199127, 1.199127, 1.215871, 1.215871, 1.199127, 1.199127, 1.779266, 1.199127, 1.199127, 1.199127, 1.770053, 1.215871, 1.199127, 1.651214, 1.199127, 1.199127, 1.310433, 1.779266, 1.199127, 1.199127, 1.651214, 1.779266, 1.779266, 1.199127, 1.215871, 1.215871, 1.199127, 1.215871, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.199127, 1.779266, 1.215871, 1.199127, 1.199127, 1.215871, 1.215871, 1.215871, 1.199127, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.310433, 1.215871
covering, 1.687812, 1.857173, 1.873917, 1.873917, 1.235725, 1.789907, 1.687812, 1.873917, 1.405085, 1.873917, 1.873917, 1.687812, 1.687812, 1.873917, 1.235725, 1.873917, 1.235725, 1.687812, 1.687812, 2.251207, 1.789907, 1.235725, 1.873917, 1.873917, 1.873917, 1.873917, 2.251207, 1.917268, 2.251207, 1.687812, 1.799119, 1.687812, 1.687812, 0.000000, 1.687812, 2.437312, 1.687812, 1.789907, 1.873917, 1.873917, 1.873917, 2.267952, 1.917268, 2.267952, 1.687812, 1.873917, 2.437312, 1.873917, 1.873917, 1.687812, 1.687812, 1.687812, 1.687812, 1.873917, 0.681543, 1.687812, 1.687812, 2.267952, 1.687812, 1.687812, 1.687812, 2.428099, 1.873917, 1.687812, 2.139900, 1.687812, 1.687812, 1.799119, 2.267952, 1.687812, 1.687812, 2.139900, 2.267952, 1.244938, 1.857173, 1.873917, 1.873917, 1.857173, 0.681543, 1.873917, 1.857173, 2.251207, 1.687812, 1.857173, 1.857173, 2.437312, 1.873917, 1.857173, 1.857173, 1.133631, 1.704557, 1.873917, 1.687812, 1.873917, 1.857173, 1.235725, 1.857173, 1.687812, 1.799119, 1.704557
cruiser, 1.199127, 1.199127, 1.215871, 1.215871, 1.770053, 1.301221, 1.199127, 1.215871, 0.747039, 1.215871, 1.215871, 1.199127, 1.199127, 1.215871, 1.770053, 1.215871, 1.199127, 1.199127, 1.199127, 1.762521, 1.301221, 0.747039, 1.215871, 1.215871, 1.215871, 1.215871, 1.762521, 1.428582, 1.667959, 1.199127, 1.310433, 1.199127, 1.199127, 1.779266, 0.000000, 1.779266, 1.199127, 1.301221, 1.215871, 1.215871, 1.215871, 1.779266, 1.428582, 1.770053, 1.199127, 1.215871, 1.779266, 1.215871, 1.215871, 1.199127, 1.199127, 1.199127, 1.199127, 1.215871, 1.215871, 1.199127, 1.199127, 1.779266, 1.199127, 1.199127, 1.199127, 1.770053, 1.215871, 1.199127, 1.651214, 1.199127, 1.199127, 1.310433, 1.779266, 1.199127, 1.199127, 1.651214, 1.779266, 1.779266, 1.199127, 1.215871, 1.215871, 1.199127, 1.215871, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.199127, 1.779266, 1.215871, 1.199127, 1.199127, 1.215871, 1.215871, 1.215871, 1.199127, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.310433, 1.215871
device, 1.687812, 1.857173, 1.873917, 1.873917, 2.428099, 1.789907, 1.687812, 1.873917, 1.405085, 1.873917, 1.873917, 1.687812, 1.687812, 0.681543, 2.258739, 1.873917, 1.687812, 1.687812, 1.687812, 2.251207, 1.789907, 1.235725, 1.873917, 1.873917, 1.873917, 1.873917, 2.251207, 1.917268, 2.251207, 1.687812, 1.799119, 1.687812, 1.687812, 2.437312, 1.687812, 0.000000, 1.687812, 1.789907, 0.681543, 1.873917, 1.873917, 1.244938, 1.917268, 2.267952, 1.687812, 1.873917, 2.437312, 1.873917, 1.873917, 1.687812, 1.687812, 1.687812, 1.687812, 1.873917, 1.873917, 1.687812, 1.687812, 2.267952, 1.687812, 1.687812, 1.687812, 1.235725, 1.873917, 1.687812, 2.139900, 1.687812, 1.687812, 1.799119, 2.267952, 1.687812, 1.687812, 2.139900, 2.267952, 2.437312, 1.857173, 1.873917, 1.873917, 1.857173, 1.873917, 1.873917, 1.857173, 2.251207, 1.687812, 1.857173, 1.857173, 2.437312, 1.873917, 1.857173, 1.857173, 1.873917, 1.704557, 1.873917, 1.687812, 1.873917, 1.857173, 2.251207, 1.857173, 1.687812, 1.799119, 1.704557
electric, 1.199127, 1.199127, 1.215871, 1.215871, 1.770053, 1.301221, 1.199127, 1.215871, 0.747039, 1.215871, 1.215871, 1.199127, 1.199127, 1.215871, 1.770053, 1.215871, 1.199127, 1.199127, 1.199127, 1.762521, 1.301221, 0.747039, 1.215871, 1.215871, 1.215871, 1.215871, 1.762521, 1.428582, 1.667959, 1.199127, 1.310433, 1.199127, 1.199127, 1.779266, 1.199127, 1.779266, 0.000000, 1.301221, 1.215871, 1.215871, 1.215871, 1.779266, 1.428582, 1.770053, 1.199127, 1.215871, 1.779266, 1.215871, 1.215871, 1.199127, 1.199127, 1.199127, 1.199127, 1.215871, 1.215871, 1.199127, 1.199127, 1.779266, 1.199127, 1.199127, 1.199127, 1.770053, 1.215871, 1.199127, 1.651214, 1.199127, 1.199127, 1.310433, 1.779266, 1.199127, 1.199127, 1.651214, 1.779266, 1.779266, 1.199127, 1.215871, 1.215871, 1.199127, 1.215871, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.199127, 1.779266, 1.215871, 1.199127, 1.199127, 1.215871, 1.215871, 1.215871, 1.199127, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.310433, 1.215871
elevator, 1.121501, 1.350956, 1.338826, 1.338826, 1.893008, 1.223595, 1.121501, 1.338826, 1.861787, 1.338826, 1.338826, 1.121501, 1.121501, 1.338826, 0.554182, 1.338826, 1.121501, 1.121501, 1.121501, 1.684895, 1.223595, 0.669413, 1.338826, 1.338826, 1.338826, 1.338826, 1.684895, 1.350956, 1.684895, 1.121501, 1.232807, 1.121501, 1.121501, 1.786989, 1.121501, 1.902221, 1.121501, 0.000000, 1.338826, 1.338826, 1.338826, 1.701640, 1.350956, 1.701640, 1.121501, 1.338826, 1.902221, 1.338826, 1.338826, 1.121501, 1.121501, 1.121501, 1.121501, 1.338826, 1.338826, 1.121501, 1.121501, 1.701640, 1.121501, 1.121501, 1.121501, 1.893008, 1.338826, 1.121501, 1.573588, 1.121501, 1.121501, 1.232807, 1.701640, 1.121501, 1.121501, 1.573588, 1.701640, 1.786989, 1.350956, 1.338826, 1.338826, 1.350956, 1.223595, 1.338826, 1.350956, 1.684895, 1.121501, 1.350956, 1.350956, 1.902221, 1.338826, 1.350956, 1.350956, 1.338826, 1.138245, 1.338826, 1.121501, 1.338826, 1.350956, 1.684895, 1.350956, 1.121501, 1.232807, 1.138245
fender, 1.006269, 1.175629, 1.192374, 1.192374, 1.746556, 1.108363, 1.006269, 1.192374, 0.723542, 1.192374, 1.192374, 1.006269, 1.006269, 1.192374, 1.577196, 1.192374, 1.006269, 1.006269, 1.006269, 1.569664, 1.108363, 0.554182, 1.192374, 1.192374, 1.192374, 1.192374, 1.569664, 1.235725, 1.569664, 1.006269, 1.117576, 1.006269, 1.006269, 1.755768, 1.006269, 0.563394, 1.006269, 1.108363, 0.000000, 1.192374, 1.192374, 0.563394, 1.235725, 1.586408, 1.006269, 1.192374, 1.755768, 1.192374, 1.192374, 1.006269, 1.006269, 1.006269, 1.006269, 1.192374, 1.192374, 1.006269, 1.006269, 1.586408, 1.006269, 1.006269, 1.006269, 0.554182, 1.192374, 1.006269, 1.458357, 1.006269, 1.006269, 1.117576, 1.586408, 1.006269, 1.006269, 1.458357, 1.586408, 1.755768, 1.175629, 1.192374, 1.192374, 1.175629, 1.192374, 1.192374, 1.175629, 1.569664, 1.006269, 1.175629, 1.175629, 1.755768, 1.192374, 1.175629, 1.175629, 1.192374, 1.023014, 1.192374, 1.006269, 1.192374, 1.175629, 1.569664, 1.175629, 1.006269, 1.117576, 1.023014
first gear, 1.006269, 1.175629, 1.192374, 1.192374, 1.746556, 1.108363, 1.006269, 1.192374, 0.723542, 1.192374, 1.192374, 1.006269, 1.006269, 1.192374, 1.577196, 1.192374, 1.006269, 1.006269, 1.006269, 1.569664, 1.108363, 0.554182, 1.192374, 1.192374, 1.192374, 1.192374, 1.569664, 1.235725, 1.569664, 1.006269, 1.117576, 1.006269, 1.006269, 1.755768, 1.006269, 1.755768, 1.006269, 1.108363, 1.192374, 0.000000, 1.192374, 1.586408, 1.235725, 1.586408, 1.006269, 1.192374, 0.563394, 1.192374, 1.192374, 1.006269, 1.006269, 1.006269, 1.006269, 1.192374, 1.192374, 1.006269, 1.006269, 1.586408, 1.006269, 1.006269, 1.006269, 1.746556, 1.192374, 1.006269, 1.458357, 1.006269, 1.006269, 1.117576, 1.586408, 1.006269, 1.006269, 1.458357, 1.586408, 1.755768, 1.175629, 1.192374, 1.192374, 1.175629, 1.192374, 1.192374, 1.175629, 1.569664, 1.006269, 1.175629, 1.175629, 1.755768, 1.192374, 1.175629, 1.175629, 1.192374, 1.023014, 1.192374, 1.006269, 1.192374, 1.175629, 1.569664, 1.175629, 1.006269, 1.117576, 1.023014
floorboard, 1.006269, 1.175629, 1.192374, 1.192374, 1.746556, 1.108363, 1.006269, 1.192374, 0.723542, 1.192374, 1.192374, 1.006269, 1.006269, 1.192374, 1.577196, 1.192374, 1.006269, 1.006269, 1.006269, 1.569664, 1.108363, 0.554182, 1.192374, 1.192374, 1.192374, 1.192374, 1.569664, 1.235725, 1.569664, 1.006269, 1.117576, 1.006269, 1.006269, 1.755768, 1.006269, 1.755768, 1.006269, 1.108363, 1.192374, 1.192374, 0.000000, 1.586408, 1.235725, 1.586408, 1.006269, 1.192374, 1.755768, 1.192374, 1.192374, 1.006269, 1.006269, 1.006269, 1.006269, 1.192374, 1.192374, 1.006269, 1.006269, 1.586408, 1.006269, 1.006269, 1.006269, 1.746556, 1.192374, 1.006269, 1.458357, 1.006269, 1.006269, 1.117576, 1.586408, 1.006269, 1.006269, 1.458357, 1.586408, 1.755768, 1.175629, 1.192374, 1.192374, 1.175629, 1.192374, 1.192374, 1.175629, 1.569664, 1.006269, 1.175629, 1.175629, 1.755768, 1.192374, 1.175629, 1.175629, 1.192374, 1.023014, 1.192374, 1.006269, 1.192374, 1.175629, 1.569664, 1.175629, 1.006269, 1.117576, 1.023014
framework, 1.687812, 1.857173, 1.873917, 1.873917, 2.428099, 1.789907, 1.687812, 1.873917, 1.405085, 1.873917, 1.873917, 1.687812, 1.687812, 0.681543, 1.235725, 1.873917, 1.235725, 1.687812, 1.687812, 2.251207, 1.789907, 1.235725, 1.873917, 1.873917, 1.873917, 1.363086, 2.251207, 1.917268, 2.251207, 1.687812, 1.799119, 1.687812, 1.687812, 2.437312, 1.687812, 1.244938, 1.687812, 1.789907, 0.681543, 1.873917, 1.873917, 0.000000, 1.917268, 2.267952, 1.687812, 1.873917, 2.437312, 1.873917, 0.681543, 1.687812, 1.687812, 1.687812, 1.687812, 1.873917, 1.873917, 1.687812, 1.687812, 2.267952, 1.687812, 1.687812, 1.687812, 1.235725, 1.873917, 1.687812, 2.139900, 1.687812, 1.687812, 1.799119, 1.244938, 1.687812, 1.687812, 2.139900, 2.267952, 2.437312, 1.857173, 1.873917, 1.873917, 1.857173, 1.873917, 1.873917, 1.857173, 2.251207, 1.687812, 1.857173, 1.857173, 2.437312, 1.873917, 1.857173, 1.857173, 1.873917, 1.704557, 1.873917, 1.687812, 1.873917, 1.857173, 2.251207, 1.857173, 1.687812, 1.799119, 0.681543
freight car, 1.015482, 1.244938, 1.232807, 1.232807, 1.786989, 1.117576, 1.015482, 1.232807, 1.755768, 1.232807, 1.232807, 1.015482, 1.015482, 1.232807, 1.586408, 1.232807, 1.015482, 1.015482, 1.015482, 1.578876, 1.117576, 0.563394, 1.232807, 1.232807, 1.232807, 1.232807, 1.578876, 1.244938, 1.578876, 1.015482, 1.126789, 1.015482, 1.015482, 1.796202, 1.015482, 1.796202, 1.015482, 1.117576, 1.232807, 1.232807, 1.232807, 1.595621, 0.000000, 1.595621, 1.015482, 1.232807, 1.796202, 1.232807, 1.232807, 1.015482, 1.015482, 1.015482, 1.015482, 1.232807, 1.232807, 1.015482, 1.015482, 1.595621, 1.015482, 1.015482, 1.015482, 1.786989, 1.232807, 1.015482, 1.467570, 1.015482, 1.015482, 1.126789, 1.595621, 1.015482, 1.015482, 1.467570, 1.595621, 1.796202, 1.244938, 1.232807, 1.232807, 1.244938, 1.232807, 1.232807, 1.244938, 1.578876, 1.015482, 1.244938, 1.244938, 1.796202, 1.232807, 1.244938, 1.244938, 1.232807, 1.032227, 1.232807, 1.015482, 1.232807, 1.244938, 1.578876, 1.244938, 1.015482, 1.126789, 1.032227
